id|title|text
4477|Taipoiti River|One of the headwaters of the Waimakariri River, it flows southeast from the Shaler Range to reach the White River.
4478|Gertrude Halley|Ida Gertrude Margaret Halley MB.
4479|Plantaris muscle|When the tibial nerve receives an action potential, the plantaris muscle contracts, providing weak plantar flexion of the foot and weak flexion of the knee.
4480|<i>Escape from Bug Island</i>|According to IGN, the gameplay is “void of anything that may resemble fun”.
4481|Gari and beans|The staple make up a complete protein providing the body with essential minerals.
4482|Búðir|Búðir is a small hamlet; the home of popular country inn and restaurant, Hotel Búðir and a small medieval church.
4483|Inflation (cosmology)|Coleman found the most likely decay pathway for vacuum decay and calculated the inverse lifetime per unit volume.
4484|Seki language|It had been spoken in villages of Rio Campo and Northern Bata, along the coast, but its native speakers have begun abandoning the language for Spanish, Fang, and Kombe.
4485|Hacker-Pschorr Brewery|Subsequent annual celebrations evolved into the city of Munich’s Oktoberfest, which is attended by over six million people each year, who in 2011 consumed over six million litres of beer.
4486|<i>Concrete Cowboys</i>|Will Eubanks who has mysteriously disappeared.
4487|Saksumdal Church|Saksumdal Church in the Diocese of Hamar.
4488|White House United Methodist Church|It was built about 1850, and is a one-story, rectangular frame meeting house style building.
4489|<i>Sweeter</i> (album)| —Gavin DeGraw telling to The Examiner about the variety of songs on his new album.
4490|Elyès Jlassi|Elyès Jlassi is a Tunisian football midfielder who currently plays for US Monastir.
4491|Properidine|Properidine is an opioid, an analgesic, and the isopropyl analog of pethidine.
4492|Amanda Frisbie|Frisbie was traded to the Western New York Flash on March 30, 2015 along with Sydney Leroux Dwyer for Amber Brooks and the rights to Abby Wambach.
4493|<i>Linda Lovelace for President</i>|political party leaders have gathered to join forces and select a candidate for the upcoming presidential election.
4494|<i>Scottie Plays the Duke</i>|All compositions by Duke Ellington except as indicated.
4495|Robin Carnahan|On November 2, 2004, Carnahan was elected as Missouri's 38th secretary of state.
4496|<i>Phoenix loureiroi</i>|The fruit is a single-seeded drupe, bluish-black when ripe, produced on erect, yellow inflorescences, usually hidden within the leaf crown.
4497|Strančice|It has about 2,600 inhabitants.
4498|<i>Tectona</i>|The biggest and oldest teak is in Uttaradit, Thailand.
4499|<i>Pilocarpus</i>|Various species are important pharmacologically as a source of the parasympathomimetic alkaloid pilocarpine.
4500|Thonac|Thonac is a commune in the Dordogne department in Nouvelle-Aquitaine in southwestern France.
4501|Vake, Ozurgeti Municipality|Vake is a village in the Ozurgeti Municipality of Guria in western Georgia.
4502|La Grange Historic District (North Carolina)|The buildings include notable examples of Queen Anne and Bungalow/American Craftsman style architecture and date between the 1850s and the 1930s.
4503|<i>Wee Sneezawee</i>|Writing for Audiophile Audition, Doug Simpson commented: Nothing Lyons recorded could be considered mainstream jazz, but over the 42 minutes, Lyons moves as close to a conventional nature as any Lyons record gets.
4504|Jerzy Semkow|Louis Symphony Orchestra for the Vox/Turnabout label.
4505|Mark Vos|Vos permanently deferred his actuarial studies at Macquarie University, to play poker full-time.
4506|David MacIntyre (composer)|In 1979, MacIntyre was invited to join the faculty at Simon Fraser University where he co-founded the Contemporary music program and where he taught courses in music composition and interdisciplinary collaboration in the School for the Contemporary Arts for thirty eight years until his retirement on September 1, 2017.
4507|Sex (Cheat Codes and Kris Kross Amsterdam song)|This was followed by a release as a digital download to Beatport on April 8, 2016, The song's music video was released to the Spinnin' Records YouTube channel on February 19, 2016.
4508|<i>Confederate Defenders of Charleston</i>|The figure in front is a warrior, symbolizing the Confederate soldiers from Charleston, wearing only a fig leaf and sandals and holding both a sword and a shield bearing the Seal of South Carolina.
4509|Ritchey (lunar crater)|By convention these features are identified on lunar maps by placing the letter on the side of the satellite midpoint that is closest to Ritchey.
4510|Thomas Edward Campbell|In 1917, he was initially declared the governor of Arizona in a disputed gubernatorial election but the decision was later overturned by the courts, who awarded the election to George W.
4511|Marilynne Robinson|Wendell Miller Professor of English and Creative Writing, Robinson has been writer-in-residence or visiting professor at many colleges and universities, including Amherst, and the University of Massachusetts Amherst's MFA Program for Poets and Writers.
4512|Alvin Tyler|He co-owned Parlo records AKA Olrap Publishing, Inc.
4513|Herman Chernoff|Herman Chernoff is an American applied mathematician, statistician and physicist.
4514|Gian Carlo Menotti|Music critic Joel Honig served as his personal secretary during the late 1950s.
4515|Krebsbach (Schwarzbach)|Krebsbach is a river in Baden-Württemberg, Germany.
4516|Santacruz railway station|It has six platforms and eight tracks i.
4517|<i>Consequence</i> (album)|This is a welcome addition to the McLean catalog on disc.
4518|Tonight I Could Fall in Love|She stated The album closes with the wonderful ballad, Tonight I Could Fall in Love.
4519|Sukjong of Joseon|He died after reigning for 46 years in 1720 at age 60.
4520|National university|Some national universities are associated with national cultural or political aspirations.
4521|<i>Spider-Man Unlimited</i>|The series was somewhat referred to in the Webspinners: Tales of Spider-Man issues 13 and 14 from February and March 2000 where Peter Parker is teleported into another dimension ruled by Blastaar while chasing Carnage and finds himself in the costume Spider-Man wore in this TV Show, he joins forces with Dusk and remains in this suit until he defeats both villains and transported back to his homeworld with the knocked out Carnage.
4522|Reginald Lewis|At the time, McCall was number two in its industry, holding 29.
4523|<i>Brevitrygon walga</i>|It has been recorded from India, but may have been confused there with the scaly whipray.
4524|Mandy McCartin| Stuckists founder Charles Thomson has always endorsed her work and sees it as an intense visual confection of urban life.
4525|Lake Washington|During the 1940s and 1950s, eleven sewage treatment plants were sending state-of-the-art treated water into the lake at a rate of 20 million gallons per day.
4526|Christ Episcopal Church and Rectory (Sheridan, Montana)|To its west is a two-story gambrel roofed rectory built in 1906, also of the local granite.
4527|Manchester Parish|He was governor for 19 years, setting the record as the longest-serving governor of the island.
4528|Cullen Old Church|In 1536, a chaplaincy of St Anne was founded by Elena Hay, A laird's loft , known as the Seafield Loft, was installed by the Ogilvys in 1602 to allow members of the family to sit apart from, and above, the rest of the congregation.
4529|<i>Kalem</i> (magazine)|Kalem was a bilingual weekly political satire magazine which was in circulation in the period 1908–1911 in Istanbul, Ottoman Empire.
4530|Middle Township Public Schools|In 2008 the district had about 2,879 students.
4531|2022 Copa Sudamericana Final|This is the 21st edition of the Copa Sudamericana, the second-tier South American continental club football tournament organized by CONMEBOL.
4532|Afghanistan at the 1980 Summer Olympics|While many nations boycotted the 1980 Summer Olympics in Moscow because of the 1979 Soviet invasion of Afghanistan, the country's pro-Soviet government sent a team to Moscow.
4533|<i>High Strung</i> (2016 film)|Ruby and the hip hop group are about to start the competition without Johnnie since he hasn't shown up, but he finally does show up.
4534|Jonas Galusha|He married Abigail Ward in June 1808 and she died the following year.
4535|Joanna Frueh|Frueh received her Bachelor of Art from Sarah Lawrence College in 1970; and her Master of Arts from the University of Chicago in 1971; and her PhD, from the University of Chicago in 1981.
4536|Cornish fairing|They are roughly circular and brittle similar to gingerbread.
4537|<i>Chionanthus foveolatus</i>|It can be grown easily from seed.
4538|Atikokan Municipal Airport|Atikokan Municipal Aerodrome northwest of the town of Atikokan, Ontario, Canada.
4539|River Dargle|The Dargle rises in the Wicklow Mountains, Ireland, on the southern slopes of Tonduff 642 metres section reaches the Irish Sea at Bray Harbour.
4540|<i>Araniella</i>|Araniella is a genus of orb-weaver spiders first described by R.
4541|Foothill College|The community college district's headquarters are located in one corner of the Foothill campus.
4542|Progres 2|Censors forbade this song and the band solved it by using only the vowels from the original lyrics.
4543|Michael Tsegaye|He enrolled in the Economics Department of Addis Abeba University before transferring to its School of Fine Arts and Design.
4544|Campamento (Madrid Metro)|Campamento is a station on Line 5 of the Madrid Metro.
4545|<i>Spirula</i>|At night, it rises to 100–300 m.
4546|Vera and Laszlo Tisza House|A flat roof, covered with rolled asphalt, extends for two feet beyond the edges of the house, and has exposed rafters that are visible both inside and outside the house.
4547|Phoolbagan metro station|This is the first underground station in this line and has island platforms.
4548|<i>Zieria baeuerlenii</i>|Masses of small pinkish-white flowers about 8 mm long, overlap each other and have a layer of hairs on the outside.
4549|Kyle, South Dakota|7% of all households were made up of individuals, and 1.
4550|<i>Live in Poland</i> (Wayne Horvitz album)|Live in Poland is a live album by American keyboardist and composer Wayne Horvitz' band Pigpen recorded in 1994 and originally released as an audio companion with the magazine Jazz à Go-Go but later released on the Cavity Search label.
4551|Peter-Michael Kolbe|In all Kolbe's Olympic and World Championship races, only Karppinen, Lange and Andrew Sudduth were ever able to beat Kolbe in a regularly rigged boat.
4552|<i>Superstore</i> (season 2)|Jonah tries to play off previously calling Amy sexy by overusing the word, even when inappropriate.
4553|Saugeen Hunting Grounds 60A|It is one of the reserves of the Saugeen First Nation.
4554|<i>Acalymma</i>|Acalymma is a genus of leaf beetles found mainly in the New World.
4555|<i>Vitellidelos</i>|clade Stylommatophora Vitellidelos is a genus of land snails in the family Rhytididae.
4556|Ferrule|Ferrules are also often referred to as eyelets or grommets within the manufacturing industry.
4557|Vestmarka|The land is owned by Løvenskiold Vækerø and is a popular recreational area.
4558|<i>Club Ninja</i>|The album was the band's last studio album with bassist Joe Bouchard.
4559|Chad Jackson|Jackson signed with the Buffalo Bills on March 31, 2010.
4560|Geneviève Levy|She represents the 1st constituency of the Var department, and is a member of the Republicans.
4561|Achilles tendon|As the heel by which she held him was not touched by the water, it was his one vulnerable spot and he was eventually killed by a poison dart to the heel.
4562|<i>Omoglymmius germari</i>|Omoglymmius germari is a species of beetle in the subfamily Rhysodidae.
4563|<i>Eucomatocera</i>|It was described by White in 1846.
4564|Japanese destroyer <i>Harukaze</i> (1905)|The main armament of the Kamikaze-class ships consisted of two 40-calibre quick-firing 12 cwt guns Harukaze was launched at Kawasaki's shipyard in Kobe on 25 December 1905.
4565|<i>Papaver orientale</i>|The seeds are sown at a depth of about one centimeter, or less as light may stimulate germination.
4566|John Cadwalader (jurist)|Cadwalader's grandson, John Cadwalader III which funded the MMI Preparatory School.
4567|Annie Smith Peck|In 1911, at the age of 61, Peck climbed one of the five peaks on 21,083-foot Coropuna in Peru.
4568|Tamassee DAR School|The school was named to the National Register of Historic Places in 2012.
4569|Wittman V-Witt|The Wittman V-Witt also called Witts V and Witt's Vee is single-engine tube-and-fabric construction aircraft specifically made for Formula V Air Racing.
4570|Birlingham|The name Birlingham is derived from the Old English Byrla–inga–hamm, meaning Land, in a river-bend, of a man called Byrla.
4571|Someone You Used to Know|It also peaked at #37 on the Billboard Hot 100 becoming Raye's biggest crossover hit.
4572|<i>Carex willdenowii</i>|It is listed as endangered in Connecticut.
4573|Watchmaker analogy| A celebrated author and divine has written to me that he has gradually learnt to see that it is just as noble a conception of the Deity to believe that He created a few original forms capable of self-development into other and needful forms, as to believe that He required a fresh act of creation to supply the voids caused by the action of His laws.
4574|Homonoeini|It was described by Thomson in 1864.
4575|Martin Jakubko|Martin Jakubko is a Slovak former professional footballer who played as a forward.
4576|Jay Nelson Tuck|When his mother resumed her maiden name, Natalie Tuck, she renamed her son Jay Nelson Tuck.
4577|Bramble Hill|The house was listed on the National Register of Historic Places in 1983.
4578|Atchafalaya Basin|The river stretches from near Simmesport in the north through parts of eight parishes to the Morgan City southern area.
4579|Caroline Friederike Friedrich|Caroline Friederike Friedrich, a flower painter, was born at Friedrichsstadt in 1749, and died at Dresden in 1815.
4580|<i>Laevicardium pictum</i>|Laevicardium pictum, or Ravenel's egg cockle, is a species of bivalve mollusc in the family Cardiidae.
4581|Gov. Jonas Galusha Homestead|Extending to its rear are a 1+1⁄2-story ell.
4582|Antigonus III Doson|Yet, even as king he apparently envisioned himself as caretaker for his cousin's son, Philip V.
4583|<i>Syssphinx</i>|Syssphinx is a genus of moths of the family Saturniidae.
4584|New Ross, Indiana|The median income for a household in the town was $38,250, and the median income for a family was $42,222.
4585|<i>The Time Traders</i>|Ross is again separated from Ashe and McNeil when he falls off their hastily built and uncontrollable raft.
4586|Françoise Branget|Françoise Branget was the deputy representing Doubs's 1st constituency of the National Assembly of France.
4587|Gilmore Car Museum|The museum exhibits over 400 vintage and collector vehicles and motorcycles from all eras in several vintage buildings located on a 90-acre campus.
4588|<i>Land, Gold and Women</i>|A more highly placed family perceived a slight by her younger brother, who was believed to have been interested in a daughter of a more high-class family.
4589|Carlos Vierra|Vierra decided to live in a remote, small cabin along the Pecos River.
4590|<i>Cleome serrulata</i>|The leaves are trifoliate, diminutive teeth, Moisture, temperature, and time are critical in seed germination.
4591|Newspaper Rock State Historic Monument|The drawings on the rock are of different animals, human figures, and symbols.
4592|Brushy, Oklahoma|8% from 45 to 64, and 9.
4593|M. V. S. Haranatha Rao|and mother was a carnatic music professional.
4594|Notre Dame Cathedral, Papeete|This work of art originated from the Marquesas Islands.
4595|Stateville Correctional Center|There is also a minimum security unit commonly referred to as the Stateville Farm, which is a Level 7 facility, located within the new Northern Reception Center, located just south of the main facility.
4596|<i>Morphosphaera japonica</i>|Morphosphaera japonica is a species of skeletonizing leaf beetle in the family Chrysomelidae, found eastern Asia.
4597|<i>Kaun?</i>|The doorbell rings and Sameer answers.
4598|Gornje Brezovo|The local church is dedicated to Saint Ulrich and belongs to the Parish of Sevnica.
4599|Kutlay Erk|He served as mayor of North Nicosia, the Turkish Cypriot part of Nicosia, the capital of Cyprus, from 2002 to 2006.
4600|Bialystoker Synagogue|The exterior is marked by three windows over three doors framed with round arches, a low flight of brownstone steps, a low pitched pediment roof with a lunette window and a wooden cornice.
4601|<i>Death Weekend</i>|Diane drives the bullet-ridden car away to a paved road where the car stalls on the side of the road.
4602|Eiken (studio)|The company was formerly known as Television Corporation of Japan or TCJ before changing its name in 1969 to establish Eiken.
4603|Zach McAllister|He became a free agent on November 2, 2020.
4604|Wesoła, Mysłowice|It was then annexed by Nazi Germany at the beginning of World War II.
4605|Lateran|Attached to the basilica is the Lateran Baptistery, one of the oldest in Christendom.
4606|<i>Vaccinium koreanum</i>|Vaccinium koreanum, the Korean blueberry, Korean: 산앵도나무, Chinese: 红果越桔, is a plant species native to Korea and neighboring Liaoning Province in China.
4607|Unley Museum|In 2012 The Unley Museum won the Museums and National Galleries Award MAGNA 2012 , the nomination Permanent Exhibition for Gorgeous Gardens.
4608|Observatoire océanologique de Banyuls-sur-Mer|Construction of the main building began in 1881.
4609|Lemont Downtown Historic District|The commercial buildings in the district exhibit a variety of common building types seen between 1850 and 1950; one-part, two-part, gable-front, and false-front buildings are all present, and their designs feature Italianate, Commercial, and revival style architecture.
4610|<i>Eucalyptus kartzoffiana</i>|The Araluen gum has a restricted distribution on granite-derived soils south-east of Braidwood, where it grows in woodland and forest.
4611|John Clark House (Clarksdale, Mississippi)| It was listed on the National Register of Historic Places in 2003.
4612|Lulu White|In 1929, she sold the Bienville property to New Orleans businessman Leon Heymann.
4613|<i>Battle Angel Alita</i>|In North America, Viz Media originally released the story in a 25-page comic book, after which it followed the same volume format as its Japanese counterpart.
4614|FOSI, Forum Sedimentologiwan Indonesia|It has been used as a standard logo of the organization.
4615|Patrick Warburton|Forest Service and the Ad Council.
4616|Lawrence Bell (footballer)|Bell was the younger brother of Scottish international Jack Bell.
4617|Albéric-Archie Mondou|Mondou was a director of the Strathcona Fire Insurance Company and vice-president and manager of the Quebec and Western Canada Land Syndicate Ltd.
4618|Matka, Raebareli|The 1961 census recorded Matka as comprising 7 hamlets, with a total population of 1,447 people , in 320 households and 314 physical houses.
4619|Nagar Brahmin|Their occupations included writing Sanskrit literature, performing Vedic rituals, and conducting royal funerals; they were also famed throughout India as pilgrimage officiants at tīrtha sites.
4620|Gobosh Aviation|By 2016 the company website had been taken down and the company had likely gone out of business.
4621|Corinth, Mississippi|2% of families and 22.
4622|<i>My Special Love</i>|My Special Love is the second studio album by American singer-songwriter La Toya Jackson.
4623|SummerSlam (1995)|A tag team match was next.
4624|McLaren Speedtail|A spokeswoman for the company stated that the car may be legal, pending approval by the NHTSA, to be imported into the U.
4625|2014–15 Radford Highlanders men's basketball team|They finished the season 22–12, 12–6 in Big South play to finish in a three way tie for third place.
4626|<i>Muscle Beach</i> (novel)|The novel generated a generally positive reaction in the New York Times Book Review: Mr.
4627|Real Sociedad Femenino|Real Sociedad Femenino is the women's football section of Real Sociedad de Fútbol.
4628|<i>Plectranthias ahiahiata</i>|It was discovered at 90m depth during mesophotic coral ecosystem exploration by the deep diving team from the California Academy of Sciences.
4629|T. Walter Wallbank|Civilization was the first world-history textbook published in the United States to enjoy great success in sales.
4630|Bidgemia|It is situated about 167 kilometres south east of Coral Bay in the Gascoyne region.
4631|HMS <i>Megaera</i> (1849)|Thrupp was subsequently honourably acquitted when the court decided that the beaching of the ship was perfectly justifiable.
4632|WR 134|25 day primary period but considered the variations to be due to rotational modulation rather than the effects of a companion.
4633|Macau University of Science and Technology|The medical service of M.
4634|Guillotine|In the early phase of the French Revolution before the guillotine's adoption, the slogan À la lanterne symbolized popular justice in revolutionary France.
4635|Stokes Peaks|You can help Wikipedia by expanding it.
4636|Politics of Japan|The shingikai played a large role in facilitating communication among those who ordinarily might not meet.
4637|Kaysone Phomvihane Thought|You can help Wikipedia by expanding it.
4638|Potamochoerini|Potamochoerini is a tribe of even-toed ungulates which encompasses the giant forest hogs and the river pigs.
4639|<i>Sceloporus samcolemani</i>|The specific name, samcolemani, is in honor of Sam Coleman who aided Hobart Smith in his research by writing data-processing programs.
4640|Tsuruse Station|The station consists of an island platform serving two tracks.
4641|Samuel Foster Haven|It was his only book.
4642|Hongi Hika|Te Wherowhero ambushed the Ngāpuhi carrying Ngāti Mahuta women captives and freed them.
4643|Konstantin Noskov|Petersburg Currency Exchange, which specializes in trading securities of sanctioned companies.
4644|Harbonnières|The commune is situated on the D337 road, 34 kilometres east of Amiens.
4645|Mick Lally|In 1994, Lally played the character Hugh in The Secret of Roan Inish, and in 1995 portrayed Dan Hogan in the film adaptation of Maeve Binchy's Circle of Friends.
4646|Shirley Skerrit-Andrew|In 2016 she was listed as one of St Kitts and Nevis' '40 Most Powerful Women'.
4647|Break Stuff|If someone falls, pick 'em up.
4648|Battle of Boonsboro|5 miles north of Boonsboro.
4649|<i>Red Metal</i>|In the present day, Chinese Sea Dragon naval commandos infiltrate Taiwan and assassinate the presidential candidate of the pro-Beijing Taiwan Democratic Communist Party.
4650|Klaus Brandner (politician)|Klaus Brandner is a German politician and member of the SPD.
4651|Clark W. McDonnell|He had served in that position since 1920.
4652|Helen Goss|Helen Goss was a British stage, television and film actress.
4653|Baron Corbin|On the February 13 episode of SmackDown, Corbin earned a spot in Six-Pack Challenge for the WWE Championship match by defeating Kevin Owens, who had previously attacked him.
4654|Donnie Tuck|He defeated incumbent mayor George E.
4655|Leptomantellidae|The Leptomantellidae are a new , small family of praying mantids, based on the type genus Leptomantella.
4656|Adam Thomson (rugby union)|Thomson plays mainly as a blind-side flanker.
4657|Ceramic matrix composite|Although CMCs are able to operate at very high temperatures, creep deformation still occur around 1000 °C, in the range of certain high-temperature applications.
4658|Will Osborne (singer)| The Band's theme song was The Gentleman Awaits.
4659|<i>Les chemins de ma maison</i>|The album got Gold certification in Canada The first single Mon ami m'a quittée topped the Quebec charts for nine weeks.
4660|Alamance Battleground|A visitor center at the site allows visitors to view a film and several historical items - including the powder horn of Harmon Cox, the only known surviving archeological relic from the Battle of Alamance, in a small museum.
4661|Big Ten Conference Men's Soccer Player of the Year|ISAA Player of the Year.
4662|Princess Marie of Liechtenstein (b. 1959)|The Count of ÉvreuxThe Countess of Évreux The Duke of OrléansThe Duchess of Orléans The Dowager Countess of La Marche Princess Hélène, Countess of Limburg Stirum The Dowager Duchess of Calabria The Dowager Duchess of Württemberg Princess Chantal, Baroness of Sambucy de Sorgue Princess Marie of Liechtenstein is the eldest daughter of Prince Henri, Count of Paris, Duke of France and his former wife Duchess Marie Thérèse of Württemberg.
4663|Game Boy Advance Wireless Adapter|Mario Golf: Advance Tour and the multiplayer NES Classics are missing this label, even if they are compatible.
4664|2013 Minnesota Twins season|The 2013 Minnesota Twins season was the 53rd season for the franchise in Minnesota, and the 113th overall in the American League.
4665|<i>The Island of the Day Before</i>|Exactly how the papers were preserved and eventually handed down to the editor remains a point of conjecture.
4666|M2 mine|The US began development of the anti-personnel mines in the summer of 1940 spurred on by events in the Second World War.
4667|<i>The Ragwitch</i>|It turns out to be a powerful and evil witch, and it possesses Julia and spirits her away through a pyramid of fire.
4668|Huli-huli chicken|In 1954, Ernest Morgado, a naval intelligence officer during World War II, and Mike Asagi, a chicken farmer, founded the Pacific Poultry Company in 'Ewa, Hawaii.
4669|<i>De Morgen</i>|The paper has won several prizes for its revolutionary lay-out.
4670|HMS <i>Tireless</i> (S88)|On 19 April 2004, Tireless and USS Hampton rendezvoused under the Arctic ice and surfaced together at the North Pole.
4671|Temple Hirst railway station|The station was opened on 2 January 1871 by the North Eastern Railway.
4672|Khatib|The khateeb is usually the prayer leader however there are no requirements of eligibility to become a khatib beyond being an Adult Muslim.
4673|Sugita Station (Kanagawa)|Sugita Station is a passenger railway station located in Isogo-ku, Yokohama, Kanagawa Prefecture, Japan, operated by the private railway company Keikyū.
4674|Municipality of Log-Dragomer|The Municipality of Log-Dragomer (pronounced  The seat of the municipality is the town of Log pri Brezovici.
4675|Toni Kallio|Kallio announced his retirement on 3 October 2013.
4676|Samuel Reuss|He climbed the hirerachy of the diocese of Gemer, became an archdeacon in 1824 from which position he resigned around 1836.
4677|Frank Hansen (politician)|Frank Delmar was an American politician in the state of Washington.
4678|<i>Leucadendron pondoense</i>|The plant grows in river beds.
4679|<i>Fumicollis</i>|The holotype of Fumicollis, USNM 20030, was found by Harold Shepherd and George Sternberg in 1937 in the Smoky Hill Member of the Niobrara Chalk of Logan County, Kansas.
4680|Lyubimets Municipality|According to the latest Bulgarian census of 2011, the religious composition, among those who answered the optional question on religious identification, was the following:  According to the latest Bulgarian census of 2011, the religious composition, among those who answered the optional question on religious identification, was the following:.
4681|<i>BloodRayne 2: Deliverance</i>|In Deliverance, Natassia Malthe replaces Loken in the lead role.
4682|Nairobi Railway Museum|This miniature train was formerly used to promote Kenya Railways on exhibitions, such as the Nairobi Show.
4683|<i>Tancred</i> (Judges Guild)|Tancred is a 1980 fantasy role-playing game adventure published by Judges Guild for Traveller.
4684|Guido Pizarro|Pizarro made his official debut starting against Bolivia at La Paz on 28 March 2017.
4685|Arantxa|Arantza or Arantxa is a Basque feminine given name, meaning thornbush.
4686|Converse County, Wyoming|Of 4,694 households, 253 were unmarried partner households: 228 heterosexual, 12 same-sex male, and 13 same-sex female.
4687|1957 Nutts Corner BEA Viscount crash|A Public inquiry was convened to investigate the accident, during which it emerged that the airport's approach lighting system may have been switched off at the time of the aircraft's landing attempt.
4688|<i>Vampire's Kiss</i>|As Loew dies, he envisions the vampiress Rachel staring at him one last time.
4689|North Highlands, California|There were 15,389 households, out of which 37.
4690|Carolina Araujo (mathematician)|Araujo was awarded the 2020 Ramanujan Prize from the International Centre for Theoretical Physics.
4691|Richard Grozier|Another story three weeks earlier in the Post had described a million-dollar lawsuit against Ponzi by a furniture dealer, but this actually burnished Ponzi's reputation as a wealthy person.
4692|Henry James Byron|Robertson's biggest successes, Society, in 1865.
4693|Walter Lawrence, Jr.|And he never rested on this mission.
4694|Vestermarie|An impressive group of menhirs stands on Bjergebakken some 2 km north of the village.
4695|Junkers W 33|The Junkers W 33 set numerous records, and one example, named the Bremen made the first east-to-west crossing of the Atlantic by airplane.
4696|Jonti Picking|Many are available for purchase on the music streaming site Bandcamp In 2012 Picking began contributing to the YouTube comedy channel HuHa under the name of Jelly Penguin.
4697|Ignacio Bailone|In 2011 played in Fourth Division and Reserve AFA.
4698|Yarmouth Beach railway station|Use of the line gradually began to decline and by the 1950s competition from the roads diminished passenger numbers.
4699|M3 Parkway railway station|M3 Parkway is a Park and Ride railway station in County Meath beside Dunboyne and the M3 Motorway.
4700|id Tech 5|id Tech 5 was first used in the video game Rage, followed by Wolfenstein: The New Order, The Evil Within and Wolfenstein: The Old Blood.
4701|Pila, Piedmont|Pila borders the following municipalities: Pettinengo, Piode, and Scopello.
4702|Kamo Station (Mie)|When Mie Kotsu dissolved on February 1, 1964, the station became part of the Mie Electric Railway, which was then acquired by Kintetsu on April 1, 1965.
4703|<i>Pterallastes</i>|So far the genus contains only two species, one in North America and one from the Sichuan province of China.
4704|Austro-Hungarian Navy|The Austrian commander of the Venetian Naval Yard was beaten to death by his own men, while the head of the city's Marine Guard was unable to provide any aid to suppress the uprising as most of the men under his command deserted.
4705|Bill Birchfield|Birchfield married the former Anne Layton in 1960 and the couple had four children: Margaret , Mary Anne, Frank and William III.
4706|Basile de Carvalho|On 12 June 2012, De Carvalho signed with Levski Sofia on a two-year deal.
4707|<i>Brazilia</i> (album)|Recorded May 7, 1965 in New York City.
4708|<i>Bayerotrochus tangaroanus</i>|The base is inflated and rounded with a small columellar callus at the center covering roughly 10 percent of the base area.
4709|Sage Chapel|Sage Chapel Christmas Vespers is an annual tradition at Cornell.
4710|Blackface|The songs of Northern composer Stephen Foster figured prominently in blackface minstrel shows of the period.
4711|Emperor Seiwa|Upon the death of his father in 858, Emperor Montoku, he became Emperor at the age of 9, but the real power was held by his grandfather, Yoshifusa.
4712|Ecot-la-Combe|Ecot-la-Combe is a commune in the Haute-Marne department in north-eastern France.
4713|<i>RTFM</i> (album)|The band supported the album by touring with Failure.
4714|Massachusetts Senate's 1st Bristol and Plymouth district|The district includes the following localities: The current district geographic boundary overlaps with those of the Massachusetts House of Representatives' 4th Bristol, 5th Bristol, 6th Bristol, 7th Bristol, 8th Bristol, 10th Bristol, and 12th Bristol districts.
4715|Sir Toby Belch|Sir Toby Belch is a character in William Shakespeare’s Twelfth Night.
4716|Roland C. McConnell|Some of the more notable publications appear in The Journal of Negro History, The North Carolina Historical Review, The Maryland Pendulum, and the Afro-American and Baltimore Sun newspapers.
4717|Jean-Pierre Vallat|Jean-Pierre Vallat was a French historian and archeologist.
4718|<i>Sunday Business</i>|The newspaper became known as a launchpad for the successful careers of the small team put together by editor Jeff Randall in the winter of 1997/8.
4719|<i>Rafa Nadal Tennis</i>|The game features tennis athlete Rafael Nadal on the cover and primarily focuses around the sport of tennis.
4720|Céline Boutier|After the Symetra Tour season concluded, Boutier played several events on the Ladies European Tour, winning the Sanya Ladies Open.
4721|<i>Once an Eagle</i>|They start their Army career together at Fort Hardee, a desolate fort that leaves Sam less than thrilled and that Tommy despises.
4722|Battle of Prosperous|The rebel entry into the village was preceded by the infiltration of a small vanguard who, possibly aided by female sympathizers within, scaled the walls of the militia barracks, killed the sentries and opened the gate.
4723|RF connector|An RF connector must not allow external signals into the circuit through electromagnetic interference and capacitive pickup.
4724|Kenny Jönsson|Kenny Per Anders Jönsson is a Swedish former professional ice hockey player.
4725|Ira Hudson|Ira Hudson was an American boat builder and prolific decoy and shorebird carver from Chincoteague, Virginia.
4726|<i>Witchy PreCure!</i>|The music is composed by Hiroshi Takaki, who previously composed the music for DokiDoki! PreCure, HappinessCharge PreCure!, and Go! Princess PreCure.
4727|Vanity Fare|Hitchin' A Ride, written by Peter Callander and Mitch Murray, gave them a second million-selling hit, The hit was preceded by a tour of the United States, following which both Dick Allix and Tony Goulden left the band and were replaced by guitarist and singer Eddie Wheeler and drummer Mark Ellen.
4728|Kenney Bertz|Bertz attended the University of Maryland, College Park where he played on the men’s soccer team from 2002 to 2005.
4729|Dakota North (character)|Dakota tried staying professional, but an unidentified investigator had photographed the affair for Milla's parents, who were fighting for legal custody of Milla.
4730|Pictorella mannikin|1841 Holotypes held in the Academy of Natural Sciences of Drexel University, Philadelphia are Lectotype ANSP 14546, an adult a male from the north-west coast of Australia and Paralectotype ANSP 14547, an adult female from the north-west coast of Australia.
4731|Benton County Courthouse (Oregon)|The 1954 makeover was also used to eliminate some 20 brass spittoons which had adorned the courthouse's hallways and offices since its original construction.
4732|Exclusive Native|Affirmed won the American Triple Crown in 1978 and was Horse of the Year in both 1978 and 1979, helping Exclusive Native become the leading sire in North America for both those years.
